Model,Dataset,PCG risk,Best applicable,Comparator risk,Delta pp
GPT-OSS 120B,FEVER,5.5%,SignalMatchedFusion,7.6%,-2.1
GPT-OSS 120B,HotpotQA,10.5%,SignalMatchedFusion,11.7%,-1.2
GPT-OSS 120B,PubMedQA,4.2%,SignalMatchedFusion,6.3%,-2.1
GPT-OSS 120B,TAT-QA,7.9%,SignalMatchedFusion,10.0%,-2.1
GPT-OSS 120B,2Wiki,9.3%,SignalMatchedFusion,11.4%,-2.2
GPT-OSS 120B,Mind2Web,10.1%,SignalMatchedFusion,11.9%,-1.8
GPT-OSS 120B,BFCL V1,8.7%,SignalMatchedFusion,10.5%,-1.8
GPT-OSS 120B,AgentDojo,9.5%,SignalMatchedFusion,12.5%,-3.0
Qwen 3.8 27B,FEVER,7.8%,SignalMatchedFusion,9.6%,-1.9
Qwen 3.8 27B,HotpotQA,11.7%,SignalMatchedFusion,12.9%,-1.2
Qwen 3.8 27B,PubMedQA,6.1%,SignalMatchedFusion,7.9%,-1.8
Qwen 3.8 27B,TAT-QA,10.0%,SignalMatchedFusion,11.6%,-1.5
Qwen 3.8 27B,2Wiki,12.3%,SignalMatchedFusion,12.8%,-0.4
Qwen 3.8 27B,Mind2Web,10.9%,SignalMatchedFusion,13.4%,-2.5
Qwen 3.8 27B,BFCL V1,10.1%,SignalMatchedFusion,12.5%,-2.4
Qwen 3.8 27B,AgentDojo,10.6%,SignalMatchedFusion,13.5%,-2.8
